"","Baba.F","Baba.P","Shinmura.F","Shinmura.P","Hashimoto.F","Hashimoto.P","Kudo.F","Kudo.P","Koizumi.F","Koizumi.P","Takahara.F","Takahara.P","Uno.F","Uno.P","Gandou.F","Gandou.P","Kobayashi.F","Kobayashi.P","Myotoku.F","Myotoku.P","Ryouma.F","Ryouma.P","Anabuki.F","Anabuki.P","Momotaro.F","Momotaro.P","Fujita.F","Fujita.P","Rakunou.Oukoku.F","Rakunou.Oukoku.P"
"ASV7","2.37376251397049","n.s","0.0605042163182179","n.s","2.30618104774998","n.s","2.17274417323757","n.s","4.17844310687833","*","0.235732292989142","n.s","0.013117539261681","n.s","6.31904364151339","*","2.8734571014595","n.s","0.0432846770415589","n.s","0.789474531143281","n.s","0.412307094698359","n.s","4.53788019323728","*","4.93108979686929","*","0.36063220365953","n.s"
"ASV4","0.136282407337916","n.s","1.44814636425628","n.s","1.31907321698576","n.s","0.0483332495695984","n.s","1.29157235879118","n.s","0.186076529835491","n.s","0.0387468881359056","n.s","0.0455700322815894","n.s","13.299835837672","***","0.641769974384071","n.s","1.16671848062249","n.s","0.015804589539645","n.s","1.35763766945451","n.s","0.329629882805367","n.s","0.0897056764211664","n.s"
"ASV12","1.87313157829391","n.s","1.56682903348541","n.s","0.797764750823312","n.s","14.7582363934315","***","0.155354512552457","n.s","1.1675716532863","n.s","1.33781937421852","n.s","3.76051733930151","n.s","0.23780515897538","n.s","2.05786734214858","n.s","0.0522164558996061","n.s","1.13949758874804","n.s","1.21277615909346","n.s","0.282384823815193","n.s","1.21171088648175","n.s"
"ASV22","0.136449855274554","n.s","51.1726461671101","***","6.71797666512209","*","0.977090197157333","n.s","1.51028257183032","n.s","2.03078566964884","n.s","2.0000355099009","n.s","1.17774741876","n.s","0.605489453599801","n.s","1.25434610728766","n.s","0.0368874888690707","n.s","1.31319919616769","n.s","1.64525618785499","n.s","0.00909776672550074","n.s","1.18488371567912","n.s"
"ASV11","0.623472346617567","n.s","0.00497439765718382","n.s","0.230432059318062","n.s","1.01160926690817","n.s","0.294250568203961","n.s","0.00284229851105016","n.s","1.25423097509566","n.s","1.38638955068114","n.s","1.35117899354593","n.s","0.657911322417897","n.s","1.24412948249804","n.s","0.00728344621371219","n.s","40.0987544655279","***","0.474397151938939","n.s","0.390626309895853","n.s"
"ASV13","0.100939442257892","n.s","0.682579022187637","n.s","55.1317723134255","***","0.749850970147599","n.s","0.758550225772862","n.s","0.204296337305929","n.s","0.753929627663294","n.s","0.430042005043187","n.s","0.273336808545953","n.s","0.0948107996896405","n.s","0.0182285391760193","n.s","0.34852482788157","n.s","0.362449027706643","n.s","0.0328226458986147","n.s","0.0955596085169762","n.s"
"ASV16","0.980980720205654","n.s","4.37052554803655","*","4.15991829883417","*","0.688025919525791","n.s","2.41033088987432","n.s","1.64891367766051","n.s","0.430736898828003","n.s","0.0362037316536432","n.s","0.735194013523883","n.s","0.0183482133025548","n.s","3.32413276170588","n.s","3.57573316849927","n.s","3.15616155416123","n.s","2.9489905167858","n.s","0.0111512320380372","n.s"
"ASV10","0.414210399753833","n.s","0.585482054950799","n.s","0.676869441416125","n.s","31.757218022626","***","1.19669070354341","n.s","0.851205871071535","n.s","0.72210454974585","n.s","0.19649802641119","n.s","0.0205085007818444","n.s","0.15148237897862","n.s","0.761818526814937","n.s","0.751995882893979","n.s","0.669042446234035","n.s","0.622273807182478","n.s","0.508434458910819","n.s"
"ASV41","3.17189348988301","n.s","0.9799330417547","n.s","1.78969593268552","n.s","2.24795304077113","n.s","0.134752024153105","n.s","0.526569249858994","n.s","0.223132753419836","n.s","1.80441902299044","n.s","2.36722852740201","n.s","7.53518102725543","**","1.35374293898419","n.s","0.493746652424748","n.s","0.237471891638799","n.s","0.10810707912787","n.s","1.74288558494264","n.s"
"ASV34","0.355311466210539","n.s","0.250581210101695","n.s","44.666663734626","***","0.550040847866757","n.s","0.590204774952302","n.s","0.6401543153766","n.s","0.60163354296028","n.s","0.596352338842316","n.s","1.12512061752997","n.s","1.83800544264769","n.s","0.619684729854769","n.s","0.676435058846943","n.s","0.106326525354647","n.s","0.55202652799201","n.s","0.636216638090676","n.s"
"ASV23","8.58965582386523","**","0.776240286674665","n.s","0.0933834895263748","n.s","0.771849781835195","n.s","32.1895611221057","***","0.770988800986995","n.s","0.820473557100334","n.s","0.79561519497579","n.s","0.597208625043889","n.s","0.439716743137693","n.s","0.770185000645111","n.s","0.87395936097534","n.s","0.670356643706356","n.s","0.491022106481348","n.s","0.817672204581961","n.s"
"ASV15","1.1481987671656","n.s","0.907826102685748","n.s","0.926595050735373","n.s","1.07228693292527","n.s","0.610846093244443","n.s","0.246293868115689","n.s","0.269654407170493","n.s","43.3991110812216","***","0.204819839820054","n.s","1.66863845333233","n.s","0.583619571300702","n.s","0.606571846455927","n.s","1.70267005453071","n.s","0.594711636180419","n.s","0.978447380609369","n.s"
"ASV8","0.708124809290802","n.s","0.548828100716557","n.s","0.659726325101203","n.s","0.481478729391604","n.s","0.597174551466264","n.s","18.9842034667288","***","0.223530908913156","n.s","0.607381836837219","n.s","0.493540911220316","n.s","2.98160965243349","n.s","0.368771295432921","n.s","0.778901840791281","n.s","4.71238385524308","*","0.0190065320034386","n.s","0.700126759989848","n.s"
"ASV49","1.25415534973803","n.s","0.126145041777621","n.s","4.91745662762016","*","3.61677478434046","n.s","0.30380596713133","n.s","6.26840887606938","*","2.69579269458966","n.s","2.45370726881702","n.s","0.624516930397452","n.s","1.27877970259247","n.s","0.196947857013272","n.s","3.5653635987482","n.s","3.01565051033672","n.s","0.257305909852656","n.s","1.10294485176015","n.s"
"ASV173","35.274227670597","***","0.970509905121406","n.s","0.382560044238719","n.s","0.386006588442868","n.s","0.392946116990371","n.s","0.186309795488453","n.s","0.319728832478834","n.s","0.387735665440133","n.s","0.0194387607294754","n.s","0.388972179996534","n.s","0.00105308343171818","n.s","0.412191558353709","n.s","0.39294611699037","n.s","0.366832609404088","n.s","0.370610402616223","n.s"
"ASV45","0.0811861273244333","n.s","0.87973483033667","n.s","0.51344341719268","n.s","87.2972215350727","***","2.85549195937786","n.s","0.670301829008113","n.s","0.861889153381839","n.s","0.983630551776539","n.s","0.725799600568594","n.s","0.971710087281623","n.s","1.21992829925795","n.s","1.16898213371614","n.s","0.930668476628526","n.s","0.942592734241458","n.s","1.31007617621284","n.s"
"ASV28","0.417228207340689","n.s","35.8832023538942","***","1.20275912094941","n.s","0.259032242407031","n.s","0.306095879148693","n.s","0.47024669606611","n.s","0.417224732512668","n.s","0.391058715227558","n.s","0.417224732512662","n.s","0.41722473251266","n.s","0.443619958805146","n.s","0.443619958805146","n.s","0.391058715227553","n.s","0.365110984057046","n.s","0.0256411372310794","n.s"
"ASV21","0.294050678422863","n.s","0.663660193084194","n.s","0.623399761752284","n.s","0.476750006691534","n.s","0.682242395769014","n.s","0.797747685694031","n.s","0.712594991222816","n.s","6.85940684938196","**","0.521654040174041","n.s","0.709277573747134","n.s","0.0107530727552453","n.s","1.52261910169053","n.s","0.406955427558754","n.s","15.6606529657349","***","0.666861291270909","n.s"
"ASV14","0.297082012829289","n.s","0.297082012829292","n.s","0.278441873182444","n.s","0.278441873182444","n.s","0.277104046341373","n.s","0.329444938008886","n.s","0.263142909578876","n.s","0.122089113247796","n.s","0.297081471928576","n.s","8.33217456588122","**","0.247167623877949","n.s","0.315883206704709","n.s","0.278441873182442","n.s","0.25995823531764","n.s","10.614892760745","**"
"ASV25","0.000101095969248735","n.s","0.398570170344024","n.s","0.343967783295368","n.s","0.244397259626963","n.s","0.676530132252848","n.s","0.552183381996756","n.s","1.46330217554581","n.s","0.318198959561469","n.s","7.47366550110339","**","40.3872776322218","***","1.82976681776747","n.s","1.7746539840993","n.s","1.39380779389002","n.s","0.54845183787333","n.s","1.18697450676205","n.s"
"ASV51","18.8770000354845","***","0.685382952901842","n.s","0.437600221248988","n.s","0.0428261845160358","n.s","21.9444499287913","***","9.1992462970362","**","0.920661573594333","n.s","0.042826184516036","n.s","0.871987612725843","n.s","1.85216169647154","n.s","2.25981024953644","n.s","2.10002034592042","n.s","2.21954352530369","n.s","2.12349772681237","n.s","2.42437193125958","n.s"
"ASV5","0.212558726143998","n.s","8.82035347841017","**","0.206614038576182","n.s","0.0970361579558646","n.s","2.91881258564683","n.s","0.246544003925663","n.s","0.234667470783744","n.s","0.17512330010796","n.s","0.233536135913195","n.s","0.234667470783743","n.s","0.169637911343861","n.s","0.249521720285037","n.s","0.767812004189743","n.s","0.203004628030075","n.s","0.224584143619047","n.s"
"ASV42","0.950833786134413","n.s","1.49427588235788","n.s","0.969390788759819","n.s","0.384872185026068","n.s","1.34729015559605","n.s","1.25384274693525","n.s","0.0806647450950974","n.s","0.266820399072985","n.s","1.39503268975302","n.s","0.0189878819038394","n.s","0.31152870811663","n.s","2.86857847971108","n.s","23.77574596531","***","2.90565623763332","n.s","0.349835571959304","n.s"
"ASV69","2.19591991148147","n.s","0.875010479497269","n.s","1.02470182463896","n.s","0.82156706406988","n.s","0.750729423309385","n.s","1.42998514888155","n.s","0.904066520235329","n.s","1.85720056171856","n.s","0.00169478294588854","n.s","1.57472712482277","n.s","0.931778850087721","n.s","0.931778850087718","n.s","0.821567064069863","n.s","0.76715956749047","n.s","0.876425354063867","n.s"
"ASV65","5.18550946383287","*","0.99124907465926","n.s","0.908126348698882","n.s","8.21096714091954","**","5.47015742836507","*","1.56536250092729","n.s","1.38931732129728","n.s","1.30250230797017","n.s","1.38931732129727","n.s","1.38931732129727","n.s","1.47693636848687","n.s","1.47693636848686","n.s","1.30250230797016","n.s","1.21639209226595","n.s","31.0878512853031","***"
"ASV19","0.358166436297524","n.s","0.358166436297534","n.s","0.335695423502934","n.s","0.335695423502933","n.s","0.273421971403668","n.s","0.397683371177253","n.s","0.179589565116031","n.s","0.0347770127695853","n.s","0.340456355541257","n.s","5.7173872902046","*","3.46203174890452","n.s","0.372865697933348","n.s","0.110068552090013","n.s","0.313416142276165","n.s","0.795184810220377","n.s"
"ASV104","0.996633935589419","n.s","0.518391529467684","n.s","1.46902290092093","n.s","1.27067333672445","n.s","1.11916964618008","n.s","0.284272503599095","n.s","0.0139578963467311","n.s","0.00150516404051176","n.s","0.111727238559721","n.s","10.2391978231756","**","0.0215371346036759","n.s","2.54287566112463","n.s","0.93966379759109","n.s","0.00342776472236793","n.s","0.213689212251393","n.s"
"ASV18","1.02133459921032","n.s","0.838950692469485","n.s","0.268993436479822","n.s","0.367890597580269","n.s","0.380508784069451","n.s","19.208457781986","***","0.99170868306571","n.s","0.858895445087399","n.s","0.68443528122624","n.s","0.63325052293082","n.s","0.383457156253293","n.s","0.626651048435254","n.s","3.16358451109636","n.s","0.148368736730312","n.s","0.979954544601341","n.s"
"ASV99","0.970520153543645","n.s","2.31202232593085","n.s","0.947997831099358","n.s","0.193357357449351","n.s","0.705442990625653","n.s","0.162091916849933","n.s","0.0230026988387785","n.s","19.2403738804843","***","1.20500295084493","n.s","0.0890865030911937","n.s","0.725439310709536","n.s","0.977192275044522","n.s","0.425447512863655","n.s","0.421061989530118","n.s","0.195884035534234","n.s"
"ASV40","0.335777254834131","n.s","34.087614409854","***","0.293954625625745","n.s","0.248205788299327","n.s","0.329665063826448","n.s","0.384895445589274","n.s","0.0387912795652917","n.s","0.478664920976992","n.s","0.351728908310466","n.s","0.326825400169668","n.s","0.364781227425578","n.s","0.373985289049543","n.s","0.329665063826439","n.s","0.307785235788726","n.s","0.121260055226041","n.s"
"ASV81","0.474634767680276","n.s","0.474634767680294","n.s","0.444870440264842","n.s","0.44487044026484","n.s","0.444870440264839","n.s","0.534937151560573","n.s","0.474630270869766","n.s","0.444870440264841","n.s","2.78642885269518","n.s","0.474630270869764","n.s","8.44881034809379","**","0.452014915053389","n.s","0.444870440264835","n.s","5.38793284540174","*","0.47463027086976","n.s"
"ASV36","15.8871571842454","***","0.191423830863418","n.s","4.21788468897554","*","0.798998189456754","n.s","0.262861090296312","n.s","0.376321196228168","n.s","0.333880310376829","n.s","0.312934715836112","n.s","0.333880310376823","n.s","0.333880310376822","n.s","0.355008491985431","n.s","0.355008491985431","n.s","0.3129347158361","n.s","0.292163831625472","n.s","0.33388031037684","n.s"
"ASV31","0.44609091634625","n.s","0.31900721890023","n.s","0.363172105115395","n.s","0.418113846649998","n.s","0.418113846650001","n.s","0.482647179213812","n.s","61.0975901617491","***","2.04995938011729","n.s","0.446086944133528","n.s","0.413121942534375","n.s","0.457585241882201","n.s","0.460905160712592","n.s","0.408135720108982","n.s","0.390373924260906","n.s","0.446086944133524","n.s"
"ASV72","0.559812020500969","n.s","0.559812020500991","n.s","0.524716439804104","n.s","0.524716439804104","n.s","0.524716439804103","n.s","1.74945102301573","n.s","0.559805764897775","n.s","0.524716439804099","n.s","0.159146035968225","n.s","0.0710110306765914","n.s","0.807286720207417","n.s","14.4312602894032","***","0.0939268124909728","n.s","0.489918688179964","n.s","0.559805764897772","n.s"
